id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0,1,1,Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,BA,Puglia,regione-puglia
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0,1,1,Azienda Sanitaria Locale di Taranto,TA,Puglia,regione-puglia
arlpa,,ARPAL,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per Le Politiche Attive del Lavoro - Arpal Puglia,BA,Puglia,regione-puglia
c_f916,,Comune di Nociglia,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Nociglia,LE,Puglia,regione-puglia
asl_br,,ASL BRINDISI,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Azienda Sanitaria Locale di Brindisi,BR,Puglia,regione-puglia
c_d223,,Comune di Cursi,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cursi,LE,Puglia,regione-puglia
c_l172,,Comune di Santa Cesarea Terme,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Santa Cesarea Terme,LE,Puglia,regione-puglia
c_f221,,Comune di Minervino di Lecce,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Minervino di Lecce,LE,Puglia,regione-puglia
c_m187,,Comune di Zollino,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Zollino,LE,Puglia,regione-puglia
c_l010,,Comune di Surano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Surano,LE,Puglia,regione-puglia
c_f117,,Comune di Melpignano,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Melpignano,LE,Puglia,regione-puglia
arltl_0,,ARTI Puglia,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale per La Tecnologia e L'Innovazione della Regione Puglia,BA,Puglia,regione-puglia
asset,,ASSET Puglia,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia Regionale Strategica per Lo Sviluppo Ecosostenibile del Territorio,BA,Puglia,regione-puglia
c_b584,,Comune di Candela,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Candela,FG,Puglia,regione-puglia
c_e882,,Comune di Manduria,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Manduria,TA,Puglia,regione-puglia
c_f194,,Comune di Miggiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Miggiano,LE,Puglia,regione-puglia
c_g291,,Comune Palo Del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Palo del Colle,BA,Puglia,regione-puglia
c_h096,,Città di Putignano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Putignano,BA,Puglia,regione-puglia
c_e053,,Comune di Giuggianello,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Giuggianello,LE,Puglia,regione-puglia
c_l008,,Comune di Supersano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Supersano,LE,Puglia,regione-puglia
c_l887,,Comune di Specchia,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Specchia,LE,Puglia,regione-puglia
pusv,,Puglia Sviluppo SpA,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Puglia Sviluppo S.P.A.,BA,Puglia,regione-puglia
adisu,,Adisu,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Agenzia per Il Diritto allo Studio Universitario di Puglia,BA,Puglia,regione-puglia
ipres,,IPRES,51,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Istituto Pugliese di Ricerche Economiche e Sociali Ipres,BA,Puglia,regione-puglia
c_a281,,Comune di Andrano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Andrano,LE,Puglia,regione-puglia
c_e038,,Comune di Gioia del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Gioia del Colle,BA,Puglia,regione-puglia
c_f881,,Comune di Neviano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Neviano,LE,Puglia,regione-puglia
c_b690,,Comune di Caprarica di Lecce,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Caprarica di Lecce,LE,Puglia,regione-puglia
crpuglia,,Consiglio Regionale della Puglia,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Consiglio Regionale della Puglia,BA,Puglia,regione-puglia
